vehicle_type,standard,luxury,total
"Articulated Truck",1,0,1
"Special Purpose Vehicle",1,0,1
"Mobile Machine",2,0,2
"Trail Bike",2,0,2
Tractor,4,0,4
"All Terrain Vehicle",5,0,5
"Light Bus",6,0,6
"Heavy Van",6,1,7
"Cab and Chassis Only",8,0,8
Convertible,6,6,12
